Dates,byd_335,teja,lca_334,g_274,arrivals(tons),sales(tones),t_max_(o_c),t_min_(o_c),rainfall_(mm),area__('000_hectares),production('000_tonnes)
01-01-2012,70000,58000,49333,70000,19,12,32.5,18,0,15.2,65.2
02-01-2012,70000,58000,49333,70000,19,12,36,17.6,0,15.2,65.2
03-01-2012,70000,58000,49333,70000,23,16,36.7,19.3,0,15.2,65.2
04-01-2012,70000,58000,49333,70000,19,16,36.5,19.6,0,15.2,65.2
05-01-2012,70000,58000,49333,70000,19,13,35.7,19.4,2.5,15.2,65.2
06-01-2012,70000,58000,49333,70000,19,12,36.8,19.3,0,15.2,65.2
07-01-2012,70000,58000,49333,70000,24,12,36.1,19.1,0,15.2,65.2
08-01-2012,53500,58500,49191,53500,25,12,36.9,18.5,0,15.2,65.2
09-01-2012,53500,58500,49191,53500,39,12,37.9,19.3,0,15.2,65.2
10-01-2012,53500,58500,49191,53500,19,9,39,19.5,0,15.2,65.2
11-01-2012,53500,58500,49191,53500,16,6,36.7,19,0,15.2,65.2
12-01-2012,53500,58500,49191,53500,15,7,39.5,23.3,55.1,15.2,65.2
13-01-2012,53500,58500,49191,53500,8,4,41.8,30.1,2,12.4,53.6
14-01-2012,53500,58500,49191,53500,14,6,38.9,24.4,24,12.4,53.6
15-01-2012,57000,59750,49191,57000,14,8,35.4,25,54.8,12.4,53.6
16-01-2012,57000,59750,49191,57000,14,7,36,25.6,66.8,12.4,53.6
17-01-2012,57000,59750,49191,57000,16,8,35.6,25.8,24.1,12.4,53.6
18-01-2012,57000,59750,49191,57000,12,6,31,24.7,128.4,12.4,53.6
19-01-2012,57000,59750,49191,57000,13,7,31,24.3,64.6,12.4,53.6
20-01-2012,57000,59750,49191,57000,12,5,33.9,25.9,8.2,12.4,53.6
21-01-2012,57000,59750,49191,57000,11,5,33.1,24.9,6.4,12.4,53.6
22-01-2012,57500,61912,49750,57500,12,4,33.2,19.9,99.6,12.4,53.6
23-01-2012,57500,61912,49750,57500,8,4,33.1,24.8,31.2,12.4,53.6
24-01-2012,57500,61912,49750,57500,9,5,33.6,24.9,4,12.4,53.6
25-01-2012,57500,61912,49750,57500,9,4,33.5,24.4,15.4,12.4,53.6
26-01-2012,57500,61912,49750,57500,9,4,32,25.4,69.6,12.4,53.6
27-01-2012,57500,61912,49750,57500,6,2,33.5,23.1,2.4,12.4,53.6
28-01-2012,57500,61912,49750,57500,9,4,33.2,24.1,114,12.4,53.6
29-01-2012,57000,61600,48191,57000,12,4,30.3,24.1,24.4,12.4,53.6
30-01-2012,57000,61600,48191,57000,12,2,31.5,24.4,53.8,12.4,53.6
31-01-2012,57000,61600,48191,57000,12,3,33.5,19.2,15,12.4,53.6
01-02-2012,57000,61600,48191,57000,5,2,29.9,19.6,19.6,12.4,53.6
02-02-2012,57000,61600,48191,57000,8,3,31.8,19.7,13,12.4,53.6
03-02-2012,57000,61600,48191,57000,8,4,24.7,19.8,191.6,12.4,53.6
04-02-2012,57000,61600,48191,57000,6,2,31,19.1,0,12.4,53.6
05-02-2012,56500,59750,48000,56500,12,7,29.9,16.2,0,12.4,53.6
06-02-2012,56500,59750,48000,56500,12,6,31,19.8,0,12.4,53.6
07-02-2012,56500,59750,48000,56500,12,5,31,19.9,0,12.4,53.6
08-02-2012,56500,59750,48000,56500,11,6,31.1,19.8,0,12.4,53.6
09-02-2012,56500,59750,48000,56500,13,5,31.4,18.7,0,12.4,53.6
10-02-2012,56500,59750,48000,56500,11,5,30.6,17.2,0,12.4,53.6
11-02-2012,56500,59750,48000,56500,15,8,29.3,17.7,0,12.4,53.6
12-02-2012,57230,60000,48500,57230,9,4,31.5,19,0,12.4,53.6
13-02-2012,57230,60000,48500,57230,9,4,31.5,16.8,0,12.4,53.6
14-02-2012,57230,60000,48500,57230,7,4,31,17.1,0,12.4,53.6
15-02-2012,57230,60000,48500,57230,7,5,30.9,18,0,12.4,53.6
16-02-2012,57230,60000,48500,57230,8,5,30.2,18,0,12.4,53.6
17-02-2012,57230,60000,48500,57230,11,5,31.8,18.6,0,12.4,53.6
18-02-2012,57230,60000,48500,57230,12,7,30.4,19.2,115,12.4,53.6
19-02-2012,55667,59333,47333,55667,11,6,31.3,19.2,0,12.4,53.6
20-02-2012,55667,59333,47333,55667,14,7,34.5,18.7,0,12.4,53.6
21-02-2012,55667,59333,47333,55667,15,9,34,19.4,0,12.4,53.6
22-02-2012,55667,59333,47333,55667,18,11,34.5,19.5,0,12.4,53.6
23-02-2012,55667,59333,47333,55667,19,14,35.6,19.5,0,12.4,53.6
24-02-2012,55667,59333,47333,55667,25,14,36.1,19.5,0,12.4,53.6
25-02-2012,55667,59333,47333,55667,32,14,37.8,23.4,0,12.4,53.6
26-02-2012,53500,56250,44750,53500,19,9,36.8,25,0,12.4,53.6
27-02-2012,53500,56250,44750,53500,17,8,39.1,23.1,8.2,12.4,53.6
28-02-2012,53500,56250,44750,53500,14,8,38.5,23.2,3.8,12.4,53.6
29-02-2012,53500,56250,44750,53500,13,8,39.1,24.8,0,12.4,53.6
01-03-2012,53500,56250,44750,53500,12,5,36.4,23.3,34,12.4,53.6
02-03-2012,53500,56250,44750,53500,8,5,34.5,25.4,34.8,12.8,66.4
03-03-2012,53500,56250,44750,53500,12,6,36.1,23.9,1.2,12.8,66.4
04-03-2012,51930,54750,45750,51930,13,6,36.7,23,17,12.8,66.4
05-03-2012,51930,54750,45750,51930,9,4,36.3,23.5,6.5,12.8,66.4
06-03-2012,51930,54750,45750,51930,9,4,30.8,24.9,52.7,12.8,66.4
07-03-2012,51930,54750,45750,51930,9,5,29.4,24.1,73.6,12.8,66.4
08-03-2012,51930,54750,45750,51930,2,1,33.4,25.5,5.5,12.8,66.4
09-03-2012,51930,54750,45750,51930,6,3,32.9,23,7.2,12.8,66.4
10-03-2012,51930,54750,45750,51930,8,3,32.6,25,49.8,12.8,66.4
11-03-2012,47500,56000,46191,47500,5,2,29.1,19.9,154.3,12.8,66.4
12-03-2012,47500,56000,46191,47500,12,5,34.1,25.7,13.4,12.8,66.4
